month,normal_kwh,std_kwh,cv_pct,worst_year_pct_of_normal
Jan,371.0,7.6,2.05,95.8
Feb,388.0,11.0,2.82,96.1
Mar,480.0,10.4,2.17,94.6
Apr,497.0,8.9,1.79,95.9
May,517.0,12.1,2.34,92.3
Jun,398.0,27.6,6.95,86.4
Jul,270.0,29.4,10.86,81.8
Aug,263.0,36.0,13.71,75.9
Sep,324.0,38.5,11.89,74.6
Oct,399.0,18.5,4.64,89.4
Nov,351.0,16.3,4.65,86.3
Dec,342.0,14.5,4.23,87.8
