variance_inflation,implied_annual_cv_pct,expected_loss_inr,gross_premium_inr
1.0,1.69,87.87,159.97
1.25,2.11,168.07,287.47
1.5,2.54,260.26,429.16
2.0,3.38,454.32,717.03
