deductible_kwh,historical_burn_inr,simulated_EL_inr,hit_rate_pct,gross_premium_inr,premium_pct_of_savings
60.0,209.47,439.95,89.06,680.72,2.57
80.0,142.01,343.83,79.03,547.82,2.07
100.0,88.54,260.26,66.95,429.16,1.62
120.0,50.23,190.97,54.03,327.74,1.24
140.0,25.34,135.95,41.91,244.46,0.92
