date,latitude,longitude,temperature_k,temperature_c
2005-01-01,22.999693294401865,72.60115569230976,290.8949197133382,17.74491971333822
2005-01-02,22.999693294401865,72.60115569230976,291.20962715148926,18.05962715148928
2005-01-03,22.999693294401865,72.60115569230976,291.4184627532959,18.26846275329592
2005-01-04,22.999693294401865,72.60115569230976,292.6413466135661,19.491346613566122
2005-01-05,22.999693294401865,72.60115569230976,293.14365641276044,19.99365641276046
2005-01-06,22.999693294401865,72.60115569230976,292.6812992095947,19.53129920959475
2005-01-07,22.999693294401865,72.60115569230976,292.8024101257324,19.652410125732445
2005-01-08,22.999693294401865,72.60115569230976,292.3780161539714,19.228016153971396
2005-01-09,22.999693294401865,72.60115569230976,292.5127379099528,19.36273790995284
2005-01-10,22.999693294401865,72.60115569230976,292.61636606852215,19.466366068522177
2005-01-11,22.999693294401865,72.60115569230976,291.62907854715985,18.479078547159872
2005-01-12,22.999693294401865,72.60115569230976,291.7813949584961,18.631394958496116
2005-01-13,22.999693294401865,72.60115569230976,291.8801326751709,18.73013267517092
2005-01-14,22.999693294401865,72.60115569230976,292.42294692993164,19.272946929931663
2005-01-15,22.999693294401865,72.60115569230976,292.96948051452637,19.81948051452639
2005-01-16,22.999693294401865,72.60115569230976,292.6334819793701,19.48348197937014
2005-01-17,22.999693294401865,72.60115569230976,290.90270805358887,17.75270805358889
2005-01-18,22.999693294401865,72.60115569230976,290.0097141265869,16.859714126586937
2005-01-19,22.999693294401865,72.60115569230976,290.9034620920817,17.753462092081747
2005-01-20,22.999693294401865,72.60115569230976,291.77013206481934,18.62013206481936
2005-01-21,22.999693294401865,72.60115569230976,291.96699651082355,18.81699651082357
2005-01-22,22.999693294401865,72.60115569230976,292.2515519460042,19.101551946004236
2005-01-23,22.999693294401865,72.60115569230976,291.6567910512288,18.506791051228845
2005-01-24,22.999693294401865,72.60115569230976,292.17614873250324,19.02614873250326
2005-01-25,22.999693294401865,72.60115569230976,292.58903948465985,19.439039484659872
2005-01-26,22.999693294401865,72.60115569230976,292.93107922871906,19.78107922871908
2005-01-27,22.999693294401865,72.60115569230976,292.9751377105713,19.825137710571312
2005-01-28,22.999693294401865,72.60115569230976,291.35631624857587,18.206316248575888
2005-01-29,22.999693294401865,72.60115569230976,291.32232666015625,18.172326660156273
2005-01-30,22.999693294401865,72.60115569230976,292.56543922424316,19.415439224243187
2005-01-31,22.999693294401865,72.60115569230976,292.58381779988605,19.43381779988607
2005-02-01,22.999693294401865,72.60115569230976,292.13637288411456,18.986372884114587
2005-02-02,22.999693294401865,72.60115569230976,292.4069080352783,19.256908035278343
2005-02-03,22.999693294401865,72.60115569230976,292.6593640645345,19.50936406453451
2005-02-04,22.999693294401865,72.60115569230976,293.00467109680176,19.85467109680178
2005-02-05,22.999693294401865,72.60115569230976,294.96302541097003,21.813025410970056
2005-02-06,22.999693294401865,72.60115569230976,294.87221654256183,21.722216542561853
2005-02-07,22.999693294401865,72.60115569230976,294.9975128173828,21.847512817382835
2005-02-08,22.999693294401865,72.60115569230976,296.21418444315594,23.064184443155966
2005-02-09,22.999693294401865,72.60115569230976,297.7270088195801,24.5770088195801
2005-02-10,22.999693294401865,72.60115569230976,299.1179841359456,25.967984135945642
2005-02-11,22.999693294401865,72.60115569230976,296.99653879801434,23.846538798014365
2005-02-12,22.999693294401865,72.60115569230976,297.3369248708089,24.186924870808923
2005-02-13,22.999693294401865,72.60115569230976,298.24778683980304,25.097786839803064
2005-02-14,22.999693294401865,72.60115569230976,298.3034210205078,25.153421020507835
2005-02-15,22.999693294401865,72.60115569230976,297.8579387664795,24.707938766479515
2005-02-16,22.999693294401865,72.60115569230976,295.8941815694173,22.74418156941732
2005-02-17,22.999693294401865,72.60115569230976,294.3996067047119,21.249606704711937
2005-02-18,22.999693294401865,72.60115569230976,291.60012435913086,18.450124359130882
2005-02-19,22.999693294401865,72.60115569230976,289.41391372680664,16.263913726806663
2005-02-20,22.999693294401865,72.60115569230976,289.3811429341634,16.231142934163415
2005-02-21,22.999693294401865,72.60115569230976,291.47294425964355,18.322944259643577
2005-02-22,22.999693294401865,72.60115569230976,292.1215254465739,18.971525446573935
2005-02-23,22.999693294401865,72.60115569230976,292.9788939158122,19.828893915812216
2005-02-24,22.999693294401865,72.60115569230976,295.12160301208496,21.971603012084984
2005-02-25,22.999693294401865,72.60115569230976,297.13294474283856,23.982944742838583
2005-02-26,22.999693294401865,72.60115569230976,298.4545650482178,25.304565048217796
2005-02-27,22.999693294401865,72.60115569230976,299.7848409016927,26.634840901692712
2005-02-28,22.999693294401865,72.60115569230976,300.7832457224528,27.63324572245284
2005-03-01,22.999693294401865,72.60115569230976,300.64831097920734,27.49831097920736
2005-03-02,22.999693294401865,72.60115569230976,301.23363304138184,28.08363304138186
2005-03-03,22.999693294401865,72.60115569230976,299.9219029744466,26.77190297444662
2005-03-04,22.999693294401865,72.60115569230976,299.5847644805908,26.434764480590843
2005-03-05,22.999693294401865,72.60115569230976,298.03953742980957,24.889537429809593
2005-03-06,22.999693294401865,72.60115569230976,298.6365273793538,25.486527379353845
2005-03-07,22.999693294401865,72.60115569230976,298.0754102071126,24.925410207112634
2005-03-08,22.999693294401865,72.60115569230976,298.6380736033122,25.488073603312216
2005-03-09,22.999693294401865,72.60115569230976,298.42005983988446,25.270059839884482
2005-03-10,22.999693294401865,72.60115569230976,297.9637851715088,24.813785171508812
2005-03-11,22.999693294401865,72.60115569230976,298.4386234283447,25.28862342834475
2005-03-12,22.999693294401865,72.60115569230976,299.0703303019206,25.920330301920615
2005-03-13,22.999693294401865,72.60115569230976,299.44845898946124,26.298458989461267
2005-03-14,22.999693294401865,72.60115569230976,300.33790397644043,27.187903976440452
2005-03-15,22.999693294401865,72.60115569230976,300.63408279418945,27.484082794189476
2005-03-16,22.999693294401865,72.60115569230976,300.8155771891276,27.665577189127646
2005-03-17,22.999693294401865,72.60115569230976,300.63307698567706,27.483076985677087
2005-03-18,22.999693294401865,72.60115569230976,301.09128697713214,27.941286977132165
2005-03-19,22.999693294401865,72.60115569230976,301.5428040822347,28.392804082234704
2005-03-20,22.999693294401865,72.60115569230976,302.50690205891925,29.356902058919275
2005-03-21,22.999693294401865,72.60115569230976,301.167423248291,28.01742324829104
2005-03-22,22.999693294401865,72.60115569230976,300.43260955810547,27.28260955810549
2005-03-23,22.999693294401865,72.60115569230976,299.72115389506024,26.571153895060263
2005-03-24,22.999693294401865,72.60115569230976,299.79480870564777,26.64480870564779
2005-03-25,22.999693294401865,72.60115569230976,300.8409716288249,27.69097162882491
2005-03-26,22.999693294401865,72.60115569230976,301.5909233093262,28.440923309326195
2005-03-27,22.999693294401865,72.60115569230976,301.2465400695801,28.0965400695801
2005-03-28,22.999693294401865,72.60115569230976,301.9129530588786,28.762953058878622
2005-03-29,22.999693294401865,72.60115569230976,302.02494112650555,28.874941126505576
2005-03-30,22.999693294401865,72.60115569230976,301.29368273417157,28.14368273417159
2005-03-31,22.999693294401865,72.60115569230976,301.7508894602458,28.60088946024581
2005-04-01,22.999693294401865,72.60115569230976,301.87002182006836,28.720021820068382
2005-04-02,22.999693294401865,72.60115569230976,301.9452304840088,28.795230484008812
2005-04-03,22.999693294401865,72.60115569230976,302.9379119873047,29.78791198730471
2005-04-04,22.999693294401865,72.60115569230976,303.25507672627765,30.105076726277673
2005-04-05,22.999693294401865,72.60115569230976,304.12915992736816,30.979159927368187
2005-04-06,22.999693294401865,72.60115569230976,304.9222990671794,31.772299067179404
2005-04-07,22.999693294401865,72.60115569230976,302.90001424153644,29.750014241536462
2005-04-08,22.999693294401865,72.60115569230976,300.5110327402751,27.361032740275107
2005-04-09,22.999693294401865,72.60115569230976,300.22281646728516,27.07281646728518
2005-04-10,22.999693294401865,72.60115569230976,299.51591873168945,26.365918731689476
2005-04-11,22.999693294401865,72.60115569230976,300.40935198465985,27.259351984659872
2005-04-12,22.999693294401865,72.60115569230976,302.03904914855957,28.889049148559593
2005-04-13,22.999693294401865,72.60115569230976,303.83132044474286,30.68132044474288
2005-04-14,22.999693294401865,72.60115569230976,303.366657892863,30.216657892862997
2005-04-15,22.999693294401865,72.60115569230976,304.1824785868327,31.032478586832724
2005-04-16,22.999693294401865,72.60115569230976,304.3060557047526,31.156055704752646
2005-04-17,22.999693294401865,72.60115569230976,304.15836906433105,31.008369064331077
2005-04-18,22.999693294401865,72.60115569230976,304.4799868265788,31.329986826578818
2005-04-19,22.999693294401865,72.60115569230976,304.4561258951823,31.306125895182333
2005-04-20,22.999693294401865,72.60115569230976,305.2147928873698,32.06479288736983
2005-04-21,22.999693294401865,72.60115569230976,305.4455483754476,32.295548375447595
2005-04-22,22.999693294401865,72.60115569230976,305.17853864034015,32.02853864034017
2005-04-23,22.999693294401865,72.60115569230976,305.8431084950765,32.6931084950765
2005-04-24,22.999693294401865,72.60115569230976,305.0968774159749,31.94687741597494
2005-04-25,22.999693294401865,72.60115569230976,304.9381612141927,31.788161214192712
2005-04-26,22.999693294401865,72.60115569230976,304.7534650166829,31.603465016682946
2005-04-27,22.999693294401865,72.60115569230976,305.18200302124023,32.03200302124026
2005-04-28,22.999693294401865,72.60115569230976,305.02090009053546,31.870900090535486
2005-04-29,22.999693294401865,72.60115569230976,304.55445925394696,31.404459253946982
2005-04-30,22.999693294401865,72.60115569230976,304.30908393859863,31.159083938598656
2005-05-01,22.999693294401865,72.60115569230976,305.27919896443683,32.12919896443685
2005-05-02,22.999693294401865,72.60115569230976,305.77690505981445,32.626905059814476
2005-05-03,22.999693294401865,72.60115569230976,305.86951446533203,32.719514465332054
2005-05-04,22.999693294401865,72.60115569230976,304.8949057261149,31.74490572611495
2005-05-05,22.999693294401865,72.60115569230976,304.6903247833252,31.540324783325218
2005-05-06,22.999693294401865,72.60115569230976,304.91779073079425,31.767790730794275
2005-05-07,22.999693294401865,72.60115569230976,305.0715567270915,31.921556727091513
2005-05-08,22.999693294401865,72.60115569230976,304.8289057413737,31.67890574137374
2005-05-09,22.999693294401865,72.60115569230976,304.85413614908856,31.704136149088583
2005-05-10,22.999693294401865,72.60115569230976,304.77098337809247,31.62098337809249
2005-05-11,22.999693294401865,72.60115569230976,304.35117785135907,31.20117785135909
2005-05-12,22.999693294401865,72.60115569230976,304.5538323720296,31.403832372029626
2005-05-13,22.999693294401865,72.60115569230976,304.9374605814616,31.78746058146163
2005-05-14,22.999693294401865,72.60115569230976,304.9670327504476,31.817032750447595
2005-05-15,22.999693294401865,72.60115569230976,305.85206095377606,32.70206095377608
2005-05-16,22.999693294401865,72.60115569230976,306.386474609375,33.23647460937502
2005-05-17,22.999693294401865,72.60115569230976,305.3166281382243,32.166628138224326
2005-05-18,22.999693294401865,72.60115569230976,305.325652440389,32.175652440389
2005-05-19,22.999693294401865,72.60115569230976,306.60054270426434,33.450542704264365
2005-05-20,22.999693294401865,72.60115569230976,307.6863950093587,34.53639500935873
2005-05-21,22.999693294401865,72.60115569230976,307.7874876658122,34.637487665812216
2005-05-22,22.999693294401865,72.60115569230976,306.79170926411945,33.64170926411947
2005-05-23,22.999693294401865,72.60115569230976,307.4442882537842,34.2942882537842
2005-05-24,22.999693294401865,72.60115569230976,308.3113479614258,35.161347961425804
2005-05-25,22.999693294401865,72.60115569230976,307.40941619873047,34.25941619873049
2005-05-26,22.999693294401865,72.60115569230976,306.19347763061523,33.04347763061526
2005-05-27,22.999693294401865,72.60115569230976,306.9009380340576,33.75093803405764
2005-05-28,22.999693294401865,72.60115569230976,307.1622263590495,34.01222635904952
2005-05-29,22.999693294401865,72.60115569230976,306.40390459696454,33.25390459696456
2005-05-30,22.999693294401865,72.60115569230976,306.83556365966797,33.68556365966799
2005-05-31,22.999693294401865,72.60115569230976,307.96592140197754,34.81592140197756
2005-06-01,22.999693294401865,72.60115569230976,307.97507603963214,34.825076039632165
2005-06-02,22.999693294401865,72.60115569230976,306.79795900980633,33.64795900980636
2005-06-03,22.999693294401865,72.60115569230976,305.9946111043294,32.84461110432943
2005-06-04,22.999693294401865,72.60115569230976,306.11920229593915,32.96920229593917
2005-06-05,22.999693294401865,72.60115569230976,306.1533082326253,33.00330823262533
2005-06-06,22.999693294401865,72.60115569230976,305.83655548095703,32.686555480957054
2005-06-07,22.999693294401865,72.60115569230976,305.7762343088786,32.62623430887862
2005-06-08,22.999693294401865,72.60115569230976,306.2864163716634,33.136416371663415
2005-06-09,22.999693294401865,72.60115569230976,306.5506312052409,33.40063120524093
2005-06-10,22.999693294401865,72.60115569230976,306.51438585917157,33.36438585917159
2005-06-11,22.999693294401865,72.60115569230976,306.7108834584554,33.56088345845541
2005-06-12,22.999693294401865,72.60115569230976,306.70419375101727,33.554193751017294
2005-06-13,22.999693294401865,72.60115569230976,306.1902961730957,33.040296173095726
2005-06-14,22.999693294401865,72.60115569230976,306.9551130930583,33.80511309305831
2005-06-15,22.999693294401865,72.60115569230976,307.0860659281413,33.93606592814132
2005-06-16,22.999693294401865,72.60115569230976,306.9768931070964,33.826893107096396
2005-06-17,22.999693294401865,72.60115569230976,307.0706621805827,33.920662180582724
2005-06-18,22.999693294401865,72.60115569230976,308.0703207651774,34.92032076517745
